Valores oredichos en m3/ha (z),Valores observados en m3/ha (y)
44.2,62.1
75.2,49.2
59.3,55.8
56.6,41.1
72.6,91.3
70.9,61.9
82.1,63.5
70.2,61.9
92,62.3
54.9,33
113.7,78
91.3,88.4
92.5,50.9
92.9,60.4
113.6,118.1
101.7,87.7
103,70.3
108,103.8
83.2,84.7
78.7,55.1
79.6,40.2
82.9,50.7
90.3,106.4
97.2,122.6
120.5,139.9
103.9,85.6
104.4,115.4
61.6,32.3
123.4,100.8
114.3,90.1
190.6,165.6
282.2,416.3
200.9,154.8
179.4,182.6
225.2,265.2
158.5,169.1
194.1,217.3
184.3,168.9
198.5,254.4
168.2,154.1
215.6,196.2
195.6,187.1
184.7,179.3
266,269.5
267.3,275.1
225.4,204.2
315.7,202.2
213.7,318.2
223,227.3
281.1,323.5
316.2,492.3
312.9,511.8
235.9,320.3
289.3,362.7
275.6,262.3
222.4,291.4
284,434.8
361.2,333.1
255.5,322.9
334.6,359
362.6,423.8
130.3,110.7
373.5,290.7
