"Replica","esquema","FrecEficIB1","FrecEficIB2","FrecEficIB3","FrecEficIB1Unico","FrecEficIB2Unico","FrecEficIB3Unico","FrecEficIB1Emp2","FrecEficIB2Emp2","FrecEficIB3Emp2","FrecEficIB1Emp3","FrecEficIB2Emp3","FrecEficIB3Emp3"
1,1,3,3,0,0,0,0,2,1,0,0,0,0
1,2,2,3,0,0,1,0,1,1,0,0,0,0
1,3,2,2,0,0,0,0,2,0,0,0,0,0
1,4,2,1,1,0,0,0,1,0,1,0,0,0
1,5,3,3,0,0,0,0,3,0,0,0,0,0
1,6,2,1,0,1,0,0,1,0,0,0,0,0
1,7,2,1,0,1,0,0,1,0,0,0,0,0
1,8,3,3,0,0,0,0,3,0,0,0,0,0
2,1,3,3,1,0,0,0,2,0,0,0,0,1
2,2,3,3,0,0,0,0,3,0,0,0,0,0
2,3,3,3,0,0,0,0,1,2,0,0,0,0
2,4,2,1,0,1,0,0,0,1,0,0,0,0
2,5,3,3,1,0,0,0,1,1,0,0,0,1
2,6,2,2,0,0,0,0,1,1,0,0,0,0
2,7,2,3,0,0,1,0,0,2,0,0,0,0
2,8,3,3,0,0,0,0,2,1,0,0,0,0
